品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
ピーマン,2021/2/1,せり・入札,790,－,40,－,610,40,－,100,－,－
ピーマン,2021/2/1,相対,78868,7245,43100,4999,11592,3860,2640,1700,832,2900
ピーマン,2021/2/1,第三者販売,41,－,40,1,－,－,－,－,－,－
ピーマン,2021/2/1,商物分離,2640,－,2640,－,－,－,－,－,－,－
じゃがいも,2021/2/1,せり・入札,300,－,300,－,－,－,－,－,－,－
じゃがいも,2021/2/1,相対,485115,19210,268045,25000,74100,25000,19120,15000,3240,36400
じゃがいも,2021/2/1,第三者販売,1500,1000,450,－,－,－,－,－,50,－
さつまいも,2021/2/1,せり・入札,245,－,245,－,－,－,－,－,－,－
さつまいも,2021/2/1,相対,148631,12153,89308,7000,12850,7500,2925,7500,2895,6500
さつまいも,2021/2/1,第三者販売,1010,565,350,－,－,－,－,－,95,－
さつまいも,2021/2/1,商物分離,9315,－,9315,－,－,－,－,－,－,－
さといも,2021/2/1,せり・入札,78,78,－,－,－,－,－,－,－,－
さといも,2021/2/1,相対,28415,2832,16418,1000,2935,1100,530,1100,－,2500
さといも,2021/2/1,第三者販売,160,160,－,－,－,－,－,－,－,－
さといも,2021/2/1,商物分離,1477,－,1477,－,－,－,－,－,－,－
たまねぎ,2021/2/1,せり・入札,760,－,760,－,－,－,－,－,－,－
たまねぎ,2021/2/1,相対,379561,47031,121151,35000,29836,36100,27023,16000,8220,59200
たまねぎ,2021/2/1,第三者販売,37280,－,37180,－,－,－,－,－,100,－
たまねぎ,2021/2/1,商物分離,5250,－,5250,－,－,－,－,－,－,－
なましいたけ,2021/2/1,せり・入札,426,248,90,－,88,－,－,－,－,－
なましいたけ,2021/2/1,相対,36557,3150,23092,300,1665,1100,250,5200,100,1700
なましいたけ,2021/2/1,第三者販売,329,292,34,－,－,－,－,－,3,－
なましいたけ,2021/2/1,商物分離,315,－,315,－,－,－,－,－,－,－
その他野菜,2021/2/1,せり・入札,9576,1902,2971,－,3994,－,9,200,－,500
その他野菜,2021/2/1,相対,790387,104728,361259,50000,75884,49000,13794,69800,14022,51900
その他野菜,2021/2/1,第三者販売,6508,2695,3813,－,－,－,－,－,－,－
その他野菜,2021/2/1,商物分離,14942,－,14942,－,－,－,－,－,－,－
みかん,2021/2/1,せり・入札,26121,－,21921,－,－,4070,－,100,－,30
みかん,2021/2/1,相対,642312,113259,325391,25700,82132,24550,4400,65300,510,1070
みかん,2021/2/1,第三者販売,16561,1595,12906,－,－,1880,－,－,180,－
みかん,2021/2/1,商物分離,37245,－,37245,－,－,－,－,－,－,－
ポンカン,2021/2/1,せり・入札,100,－,100,－,－,－,－,－,－,－
ポンカン,2021/2/1,相対,125821,4480,82871,4300,16760,4200,300,11000,110,1800
ポンカン,2021/2/1,第三者販売,70,－,－,－,－,－,－,－,70,－
ポンカン,2021/2/1,商物分離,7019,－,7019,－,－,－,－,－,－,－
