品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
ほうれんそう,2021/2/8,相対,85204,11544,38909,7000,8725,4020,838,9900,568,3700
ほうれんそう,2021/2/8,第三者販売,728,637,63,－,－,－,－,－,28,－
ほうれんそう,2021/2/8,商物分離,4811,－,4811,－,－,－,－,－,－,－
ねぎ,2021/2/8,せり・入札,3228,628,995,50,980,75,－,400,－,100
ねぎ,2021/2/8,相対,184968,25541,83942,11800,18617,18125,1847,14100,4496,6500
ねぎ,2021/2/8,第三者販売,2025,1250,400,150,－,－,－,－,225,－
ねぎ,2021/2/8,商物分離,5415,－,5415,－,－,－,－,－,－,－
みずな,2021/2/8,せり・入札,6,－,6,－,－,－,－,－,－,－
みずな,2021/2/8,相対,20298,3707,9095,1000,1130,1700,251,2200,315,900
みずな,2021/2/8,第三者販売,299,15,284,－,－,－,－,－,－,－
みずな,2021/2/8,商物分離,1145,－,1145,－,－,－,－,－,－,－
セルリー,2021/2/8,せり・入札,14,－,14,－,－,－,－,－,－,－
セルリー,2021/2/8,相対,36744,4597,16795,2000,3952,1500,460,4200,1740,1500
セルリー,2021/2/8,第三者販売,390,350,40,－,－,－,－,－,－,－
セルリー,2021/2/8,商物分離,1105,－,1105,－,－,－,－,－,－,－
ブロッコリー,2021/2/8,せり・入札,1288,－,1288,－,－,－,－,－,－,－
ブロッコリー,2021/2/8,相対,153787,22000,84954,3000,18701,5000,999,6000,2833,10300
ブロッコリー,2021/2/8,第三者販売,5156,5146,－,－,－,－,－,－,10,－
ブロッコリー,2021/2/8,商物分離,18581,－,18581,－,－,－,－,－,－,－
きゅうり,2021/2/8,せり・入札,505,－,175,50,－,80,－,100,－,100
きゅうり,2021/2/8,相対,279287,33170,139940,11950,28832,12920,18945,15900,4630,13000
きゅうり,2021/2/8,第三者販売,1875,1805,20,－,－,－,－,－,50,－
きゅうり,2021/2/8,商物分離,6160,－,6160,－,－,－,－,－,－,－
なす,2021/2/8,せり・入札,232,－,25,50,－,57,－,100,－,－
なす,2021/2/8,相対,126085,20125,61599,4950,14967,8543,2595,6400,906,6000
なす,2021/2/8,第三者販売,439,271,146,－,－,－,－,－,22,－
なす,2021/2/8,商物分離,1373,－,1373,－,－,－,－,－,－,－
トマト,2021/2/8,せり・入札,812,161,303,32,－,116,－,100,－,100
トマト,2021/2/8,相対,291089,33629,149649,9968,39432,12584,10794,19900,5033,10100
トマト,2021/2/8,第三者販売,8083,7783,264,－,－,－,－,－,36,－
トマト,2021/2/8,商物分離,9328,－,9328,－,－,－,－,－,－,－
ミニトマト,2021/2/8,相対,90837,9479,54032,700,11496,5000,1884,4500,146,3600
ミニトマト,2021/2/8,第三者販売,4219,4180,25,－,－,－,－,－,14,－
ミニトマト,2021/2/8,商物分離,8293,－,8293,－,－,－,－,－,－,－
ピーマン,2021/2/8,せり・入札,1021,－,247,－,642,32,－,100,－,－
ピーマン,2021/2/8,相対,84771,7622,43447,5999,12206,3968,3789,2700,140,4900
ピーマン,2021/2/8,第三者販売,263,54,200,1,－,－,－,－,8,－
ピーマン,2021/2/8,商物分離,3040,－,3040,－,－,－,－,－,－,－
じゃがいも,2021/2/8,せり・入札,5020,－,5020,－,－,－,－,－,－,－
じゃがいも,2021/2/8,相対,448726,11570,260386,25000,61210,31600,13150,15500,4510,25800
じゃがいも,2021/2/8,第三者販売,2570,2370,－,－,－,－,－,－,200,－
じゃがいも,2021/2/8,商物分離,30000,－,30000,－,－,－,－,－,－,－
さつまいも,2021/2/8,せり・入札,855,725,130,－,－,－,－,－,－,－
さつまいも,2021/2/8,相対,141906,10372,81710,6500,9049,8200,3545,8500,2330,11700
さつまいも,2021/2/8,第三者販売,875,370,505,－,－,－,－,－,－,－
さつまいも,2021/2/8,商物分離,7656,－,7656,－,－,－,－,－,－,－
さといも,2021/2/8,相対,26249,1698,18351,200,2730,1500,170,－,200,1400
さといも,2021/2/8,第三者販売,150,140,－,－,－,－,－,－,10,－
さといも,2021/2/8,商物分離,980,－,980,－,－,－,－,－,－,－
たまねぎ,2021/2/8,せり・入札,200,－,200,－,－,－,－,－,－,－
たまねぎ,2021/2/8,相対,509276,39236,248904,30000,81136,24000,30800,18500,4600,32100
たまねぎ,2021/2/8,第三者販売,39840,－,39460,－,－,－,－,－,380,－
たまねぎ,2021/2/8,商物分離,5400,－,5400,－,－,－,－,－,－,－
なましいたけ,2021/2/8,せり・入札,426,237,105,－,84,－,－,－,－,－
なましいたけ,2021/2/8,相対,33010,2739,21453,300,1600,1100,295,4700,23,800
なましいたけ,2021/2/8,第三者販売,374,341,24,－,－,－,－,－,9,－
なましいたけ,2021/2/8,商物分離,326,－,326,－,－,－,－,－,－,－
その他野菜,2021/2/8,せり・入札,8147,1591,1876,－,3953,－,27,200,－,500
その他野菜,2021/2/8,相対,760915,100996,336825,50000,75114,46000,13457,69800,20623,48100
その他野菜,2021/2/8,第三者販売,7385,2356,5029,－,－,－,－,－,－,－
その他野菜,2021/2/8,商物分離,13880,－,13880,－,－,－,－,－,－,－
みかん,2021/2/8,せり・入札,12613,－,10053,－,－,2430,－,100,－,30
みかん,2021/2/8,相対,496722,86927,269957,20100,56758,24420,3600,33700,190,1070
みかん,2021/2/8,第三者販売,15838,7000,8388,－,－,350,－,－,100,－
みかん,2021/2/8,商物分離,210,－,210,－,－,－,－,－,－,－
ポンカン,2021/2/8,相対,121751,8298,76220,6500,16483,4800,2000,7000,50,400
ポンカン,2021/2/8,第三者販売,50,－,－,－,－,－,－,－,50,－
ポンカン,2021/2/8,商物分離,3744,－,3744,－,－,－,－,－,－,－
あまなつかん,2021/2/8,せり・入札,30,－,30,－,－,－,－,－,－,－
あまなつかん,2021/2/8,相対,62690,7910,27970,5000,10210,5500,－,5600,－,500
あまなつかん,2021/2/8,第三者販売,2090,2090,－,－,－,－,－,－,－,－
いよかん,2021/2/8,せり・入札,430,－,430,－,－,－,－,－,－,－
いよかん,2021/2/8,相対,112380,19120,51330,7000,18230,5000,1300,8500,－,1900
いよかん,2021/2/8,第三者販売,14100,6790,1620,－,－,－,－,－,5690,－
はっさく,2021/2/8,相対,54929,1890,29254,400,4070,4400,－,11000,15,3900
不知火,2021/2/8,せり・入札,1135,－,1135,－,－,－,－,－,－,－
不知火,2021/2/8,相対,141752,22475,65621,6000,18936,3600,1500,19100,2620,1900
不知火,2021/2/8,第三者販売,3075,2685,390,－,－,－,－,－,－,－
不知火,2021/2/8,商物分離,1780,－,1780,－,－,－,－,－,－,－
せとか,2021/2/8,せり・入札,83,－,83,－,－,－,－,－,－,－
せとか,2021/2/8,相対,18488,2990,11973,－,275,700,50,2400,－,100
せとか,2021/2/8,第三者販売,315,267,48,－,－,－,－,－,－,－
きんかん,2021/2/8,せり・入札,144,－,144,－,－,－,－,－,－,－
きんかん,2021/2/8,相対,14010,1336,9171,700,1023,300,80,1300,－,100
きんかん,2021/2/8,第三者販売,310,132,178,－,－,－,－,－,－,－
きんかん,2021/2/8,商物分離,93,－,93,－,－,－,－,－,－,－
りんご,2021/2/8,せり・入札,14860,－,14830,－,－,－,－,－,－,30
りんご,2021/2/8,相対,349698,29218,208797,5400,45873,9740,5800,26000,500,18370
りんご,2021/2/8,第三者販売,5458,－,4958,－,－,460,－,－,40,－
りんご,2021/2/8,商物分離,9273,－,9273,－,－,－,－,－,－,－
いちご,2021/2/8,せり・入札,892,－,656,－,－,6,－,100,－,130
いちご,2021/2/8,相対,260309,23289,188057,2900,15270,4066,500,18100,457,7670
いちご,2021/2/8,第三者販売,2985,1232,1642,－,－,28,－,－,83,－
いちご,2021/2/8,商物分離,21748,－,21748,－,－,－,－,－,－,－
アールスメロン,2021/2/8,せり・入札,2606,823,1543,40,－,－,－,200,－,－
アールスメロン,2021/2/8,相対,3793,849,2395,160,171,100,－,－,18,100
アールスメロン,2021/2/8,第三者販売,215,215,－,－,－,－,－,－,－,－
キウイ,2021/2/8,相対,44618,13009,21054,－,3750,1500,160,2900,1245,1000
キウイ,2021/2/8,第三者販売,1316,782,422,－,－,－,－,－,112,－
キウイ,2021/2/8,商物分離,5580,－,5580,－,－,－,－,－,－,－
その他果実,2021/2/8,せり・入札,988,－,988,－,－,－,－,－,－,－
その他果実,2021/2/8,相対,346692,45955,119111,13000,32552,43100,3400,56200,2074,31300
その他果実,2021/2/8,第三者販売,15582,14323,1259,－,－,－,－,－,－,－
その他果実,2021/2/8,商物分離,10475,－,10475,－,－,－,－,－,－,－
だいこん,2021/2/9,せり・入札,1420,－,820,100,－,200,－,200,－,100
だいこん,2021/2/9,相対,445024,33736,190159,21700,52929,43400,10220,46900,7080,38900
だいこん,2021/2/9,第三者販売,5670,5260,－,200,－,－,－,－,210,－
だいこん,2021/2/9,商物分離,8622,－,8622,－,－,－,－,－,－,－
かぶ,2021/2/9,せり・入札,415,－,415,－,－,－,－,－,－,－
かぶ,2021/2/9,相対,51131,5733,32284,2000,3952,2500,679,1800,883,1300
かぶ,2021/2/9,第三者販売,20,－,－,－,－,－,－,－,20,－
かぶ,2021/2/9,商物分離,1680,－,1480,－,－,－,－,200,－,－
にんじん,2021/2/9,せり・入札,1383,540,573,－,－,－,170,－,－,100
にんじん,2021/2/9,相対,235526,22673,86358,16000,40949,19500,5766,13000,5280,26000
にんじん,2021/2/9,第三者販売,9510,50,6640,2000,－,－,－,－,820,－
にんじん,2021/2/9,商物分離,220,－,220,－,－,－,－,－,－,－
ごぼう,2021/2/9,相対,16382,1316,8009,500,1803,1500,492,600,62,2100
ごぼう,2021/2/9,第三者販売,186,－,182,－,－,－,－,－,4,－
ごぼう,2021/2/9,商物分離,929,－,929,－,－,－,－,－,－,－
キャベツ,2021/2/9,せり・入札,4650,600,3500,100,－,250,－,100,－,100
キャベツ,2021/2/9,相対,686254,60173,312615,29900,92930,41350,20640,66500,7246,54900
キャベツ,2021/2/9,第三者販売,8083,2320,5613,－,－,－,－,－,150,－
キャベツ,2021/2/9,商物分離,31960,－,31960,－,－,－,－,－,－,－
レタス,2021/2/9,せり・入札,2957,－,2507,100,－,150,－,100,－,100
レタス,2021/2/9,相対,194147,19563,103115,15840,15517,13150,2352,11000,1110,12500
レタス,2021/2/9,第三者販売,6190,290,4810,1060,－,－,－,－,30,－
レタス,2021/2/9,商物分離,21449,－,21449,－,－,－,－,－,－,－
はくさい,2021/2/9,せり・入札,7863,150,6973,150,－,190,－,300,－,100
はくさい,2021/2/9,相対,474355,37713,243337,49850,40025,19310,13025,19400,2795,48900
はくさい,2021/2/9,第三者販売,12082,10730,1352,－,－,－,－,－,－,－
はくさい,2021/2/9,商物分離,71550,－,60550,－,－,－,－,11000,－,－
こまつな,2021/2/9,せり・入札,5631,－,3138,200,134,100,59,－,－,2000
こまつな,2021/2/9,相対,30357,4115,12196,2800,2537,3400,613,3000,96,1600
こまつな,2021/2/9,第三者販売,33,25,－,－,－,－,－,－,8,－
こまつな,2021/2/9,商物分離,1997,－,1997,－,－,－,－,－,－,－
ほうれんそう,2021/2/9,せり・入札,2151,1486,184,－,301,80,－,100,－,－
ほうれんそう,2021/2/9,相対,68206,7570,28589,8000,5727,3820,652,7900,348,5600
ほうれんそう,2021/2/9,第三者販売,168,－,150,－,－,－,－,－,18,－
ほうれんそう,2021/2/9,商物分離,2358,－,2358,－,－,－,－,－,－,－
ねぎ,2021/2/9,せり・入札,2076,462,344,50,645,75,－,400,－,100
ねぎ,2021/2/9,相対,137771,18956,57772,11700,12261,15225,2037,10100,520,9200
ねぎ,2021/2/9,第三者販売,2773,1823,540,250,－,－,－,－,160,－
ねぎ,2021/2/9,商物分離,3025,－,3025,－,－,－,－,－,－,－
みずな,2021/2/9,せり・入札,6,－,6,－,－,－,－,－,－,－
みずな,2021/2/9,相対,16673,3048,6928,1000,1025,1600,255,1600,17,1200
みずな,2021/2/9,第三者販売,459,270,184,－,－,－,－,－,5,－
みずな,2021/2/9,商物分離,790,－,790,－,－,－,－,－,－,－
セルリー,2021/2/9,せり・入札,15,－,15,－,－,－,－,－,－,－
セルリー,2021/2/9,相対,34864,4608,18393,2000,3193,1400,390,3200,580,1100
セルリー,2021/2/9,第三者販売,250,250,－,－,－,－,－,－,－,－
ブロッコリー,2021/2/9,せり・入札,1161,－,1097,－,－,－,64,－,－,－
ブロッコリー,2021/2/9,相対,115671,22035,67962,300,16407,2800,2063,3700,404,－
ブロッコリー,2021/2/9,第三者販売,2123,2113,－,－,－,－,－,－,10,－
ブロッコリー,2021/2/9,商物分離,10860,－,10860,－,－,－,－,－,－,－
きゅうり,2021/2/9,せり・入札,440,－,115,50,－,75,－,100,－,100
きゅうり,2021/2/9,相対,175797,22400,80629,9950,21802,10325,9586,6500,2505,12100
きゅうり,2021/2/9,第三者販売,710,670,15,－,－,－,－,－,25,－
きゅうり,2021/2/9,商物分離,4700,－,4700,－,－,－,－,－,－,－
なす,2021/2/9,せり・入札,208,－,25,50,－,33,－,100,－,－
なす,2021/2/9,相対,75231,15913,27983,4950,4609,6867,1446,6400,563,6500
なす,2021/2/9,第三者販売,302,151,136,－,－,－,－,－,15,－
なす,2021/2/9,商物分離,1468,－,1468,－,－,－,－,－,－,－
トマト,2021/2/9,せり・入札,892,254,306,32,－,100,－,100,－,100
トマト,2021/2/9,相対,198500,19238,93372,9968,38463,11400,1563,10800,1896,11800
トマト,2021/2/9,第三者販売,2057,1677,376,－,－,－,－,－,4,－
トマト,2021/2/9,商物分離,2903,－,2403,－,－,－,－,500,－,－
ミニトマト,2021/2/9,相対,50154,4561,25805,700,6813,1900,558,2100,217,7500
ミニトマト,2021/2/9,第三者販売,469,442,22,－,－,－,－,－,5,－
ミニトマト,2021/2/9,商物分離,4931,－,4931,－,－,－,－,－,－,－
ピーマン,2021/2/9,せり・入札,563,－,53,－,378,32,－,100,－,－
ピーマン,2021/2/9,相対,51107,7408,21174,1999,7188,2868,1008,2500,362,6600
ピーマン,2021/2/9,第三者販売,276,63,200,1,－,－,－,－,12,－
ピーマン,2021/2/9,商物分離,517,－,517,－,－,－,－,－,－,－
じゃがいも,2021/2/9,せり・入札,140,－,140,－,－,－,－,－,－,－
じゃがいも,2021/2/9,相対,227936,28894,79002,6000,24790,30000,9190,21400,160,28500
じゃがいも,2021/2/9,第三者販売,220,－,160,－,－,－,－,－,60,－
じゃがいも,2021/2/9,商物分離,2000,－,－,－,－,－,－,2000,－,－
さつまいも,2021/2/9,相対,137905,11926,71545,5000,16299,6400,2105,3600,2530,18500
さつまいも,2021/2/9,第三者販売,555,555,－,－,－,－,－,－,－,－
さつまいも,2021/2/9,商物分離,4000,－,4000,－,－,－,－,－,－,－
さといも,2021/2/9,せり・入札,511,－,455,－,－,－,56,－,－,－
さといも,2021/2/9,相対,18358,1468,9951,100,1354,1300,415,3700,70,－
さといも,2021/2/9,第三者販売,90,90,－,－,－,－,－,－,－,－
さといも,2021/2/9,商物分離,75,－,75,－,－,－,－,－,－,－
たまねぎ,2021/2/9,相対,401034,25417,154682,25000,60550,41800,14505,22300,3380,53400
たまねぎ,2021/2/9,第三者販売,16370,－,16370,－,－,－,－,－,－,－
たまねぎ,2021/2/9,商物分離,79610,－,79610,－,－,－,－,－,－,－
なましいたけ,2021/2/9,せり・入札,417,261,78,－,78,－,－,－,－,－
なましいたけ,2021/2/9,相対,26826,2655,16137,300,1482,900,219,3600,33,1500
なましいたけ,2021/2/9,第三者販売,325,277,43,－,－,－,－,－,5,－
なましいたけ,2021/2/9,商物分離,1129,－,1129,－,－,－,－,－,－,－
その他野菜,2021/2/9,せり・入札,9268,1536,3577,－,3263,－,192,200,－,500
その他野菜,2021/2/9,相対,669427,85555,282917,50000,62004,47000,14366,59800,6685,61100
その他野菜,2021/2/9,第三者販売,8772,2481,6291,－,－,－,－,－,－,－
その他野菜,2021/2/9,商物分離,8390,－,8390,－,－,－,－,－,－,－
みかん,2021/2/9,せり・入札,6045,－,4265,－,－,730,－,100,－,950
みかん,2021/2/9,相対,424640,88205,191909,25800,55686,7280,3300,23200,210,29050
みかん,2021/2/9,第三者販売,21788,11958,5820,－,－,1590,－,－,2420,－
みかん,2021/2/9,商物分離,36108,－,36108,－,－,－,－,－,－,－
ポンカン,2021/2/9,相対,15057,5920,215,2500,2047,1000,－,－,2275,1100
ポンカン,2021/2/9,商物分離,6786,－,6786,－,－,－,－,－,－,－
あまなつかん,2021/2/9,相対,8300,－,8200,－,－,－,－,－,－,100
あまなつかん,2021/2/9,第三者販売,2410,－,2410,－,－,－,－,－,－,－
いよかん,2021/2/9,せり・入札,200,－,200,－,－,－,－,－,－,－
いよかん,2021/2/9,相対,32300,8000,23330,－,－,200,－,－,70,700
いよかん,2021/2/9,第三者販売,11960,9600,2360,－,－,－,－,－,－,－
いよかん,2021/2/9,商物分離,9920,－,9920,－,－,－,－,－,－,－
はっさく,2021/2/9,相対,22675,2775,12000,800,4500,－,－,2000,－,600
はっさく,2021/2/9,第三者販売,1200,450,750,－,－,－,－,－,－,－
不知火,2021/2/9,せり・入札,754,－,754,－,－,－,－,－,－,－
不知火,2021/2/9,相対,28085,3520,16645,－,－,700,－,2900,20,4300
不知火,2021/2/9,商物分離,23,－,23,－,－,－,－,－,－,－
せとか,2021/2/9,せり・入札,16,－,16,－,－,－,－,－,－,－
せとか,2021/2/9,相対,5320,290,4630,－,－,300,－,－,－,100
せとか,2021/2/9,商物分離,135,－,135,－,－,－,－,－,－,－
きんかん,2021/2/9,せり・入札,21,－,21,－,－,－,－,－,－,－
きんかん,2021/2/9,相対,9963,491,7972,100,900,100,－,300,－,100
きんかん,2021/2/9,第三者販売,192,192,－,－,－,－,－,－,－,－
きんかん,2021/2/9,商物分離,142,－,142,－,－,－,－,－,－,－
りんご,2021/2/9,せり・入札,9190,－,9160,－,－,－,－,－,－,30
りんご,2021/2/9,相対,270808,27310,165228,2400,42600,4800,－,9000,600,18870
りんご,2021/2/9,第三者販売,2200,2000,200,－,－,－,－,－,－,－
りんご,2021/2/9,商物分離,17150,－,17150,－,－,－,－,－,－,－
いちご,2021/2/9,せり・入札,249,－,143,－,－,6,－,100,－,－
いちご,2021/2/9,相対,151020,16637,100907,1400,7724,3066,300,11500,86,9400
いちご,2021/2/9,第三者販売,1102,403,610,－,－,28,－,－,61,－
いちご,2021/2/9,商物分離,10039,－,10039,－,－,－,－,－,－,－
アールスメロン,2021/2/9,せり・入札,1907,580,1227,－,－,－,－,100,－,－
アールスメロン,2021/2/9,相対,3601,925,2047,300,102,91,－,－,36,100
アールスメロン,2021/2/9,第三者販売,173,164,－,－,－,9,－,－,－,－
キウイ,2021/2/9,相対,3563,235,1672,－,292,700,200,－,364,100
キウイ,2021/2/9,第三者販売,4586,4124,462,－,－,－,－,－,－,－
キウイ,2021/2/9,商物分離,10450,－,8440,－,－,－,－,－,－,2010
その他果実,2021/2/9,せり・入札,55,－,55,－,－,－,－,－,－,－
その他果実,2021/2/9,相対,251317,39601,41320,12900,20530,46900,800,33700,1576,53990
その他果実,2021/2/9,第三者販売,6771,6447,324,－,－,－,－,－,－,－
その他果実,2021/2/9,商物分離,8787,－,8787,－,－,－,－,－,－,－
だいこん,2021/2/10,せり・入札,1600,380,620,100,－,200,－,200,－,100
だいこん,2021/2/10,相対,440004,27019,153506,14700,45770,40200,7929,41300,3180,106400
だいこん,2021/2/10,第三者販売,6336,5806,230,200,－,－,－,－,100,－
だいこん,2021/2/10,商物分離,27472,－,27472,－,－,－,－,－,－,－
かぶ,2021/2/10,せり・入札,453,－,453,－,－,－,－,－,－,－
かぶ,2021/2/10,相対,54486,7224,33257,1500,4098,3000,579,1800,1428,1600
かぶ,2021/2/10,第三者販売,51,－,－,－,－,－,－,－,51,－
かぶ,2021/2/10,商物分離,2146,－,1946,－,－,－,－,200,－,－
にんじん,2021/2/10,せり・入札,1312,565,487,－,－,－,160,－,－,100
にんじん,2021/2/10,相対,246000,31758,107001,14000,34044,18900,5287,9300,8310,17400
にんじん,2021/2/10,第三者販売,9740,100,3050,6000,－,－,－,－,590,－
にんじん,2021/2/10,商物分離,7682,－,7682,－,－,－,－,－,－,－
ごぼう,2021/2/10,せり・入札,64,－,64,－,－,－,－,－,－,－
ごぼう,2021/2/10,相対,18815,1832,7300,500,1755,3100,164,2600,64,1500
ごぼう,2021/2/10,第三者販売,244,－,240,－,－,－,－,－,4,－
ごぼう,2021/2/10,商物分離,1435,－,1435,－,－,－,－,－,－,－
キャベツ,2021/2/10,せり・入札,5191,410,4331,100,－,150,－,100,－,100
キャベツ,2021/2/10,相対,676068,67049,357330,29900,87455,36550,13180,45500,5404,33700
キャベツ,2021/2/10,第三者販売,15782,2650,13032,－,－,－,－,－,100,－
キャベツ,2021/2/10,商物分離,89706,－,89706,－,－,－,－,－,－,－
レタス,2021/2/10,せり・入札,822,－,322,100,－,200,－,100,－,100
レタス,2021/2/10,相対,220759,22827,130364,14100,16333,14200,2075,10000,1660,9200
レタス,2021/2/10,第三者販売,2380,410,1160,800,－,－,－,－,10,－
レタス,2021/2/10,商物分離,11011,－,11011,－,－,－,－,－,－,－
はくさい,2021/2/10,せり・入札,4668,－,3923,150,－,195,－,300,－,100
はくさい,2021/2/10,相対,525785,44879,273626,44850,47025,23905,12741,27900,8659,42200
はくさい,2021/2/10,第三者販売,5078,5065,13,－,－,－,－,－,－,－
はくさい,2021/2/10,商物分離,87950,－,87950,－,－,－,－,－,－,－
こまつな,2021/2/10,せり・入札,4460,－,1971,200,177,100,12,－,－,2000
こまつな,2021/2/10,相対,33383,5115,12934,2800,3369,3700,428,4100,37,900
こまつな,2021/2/10,第三者販売,93,85,－,－,－,－,－,－,8,－
こまつな,2021/2/10,商物分離,1110,－,1110,－,－,－,－,－,－,－
ほうれんそう,2021/2/10,せり・入札,2455,1472,428,－,375,80,－,100,－,－
ほうれんそう,2021/2/10,相対,73098,9878,31371,7000,7131,3620,595,10900,503,2100
ほうれんそう,2021/2/10,第三者販売,209,182,13,－,－,－,－,－,14,－
ほうれんそう,2021/2/10,商物分離,3234,－,3234,－,－,－,－,－,－,－
ねぎ,2021/2/10,せり・入札,2215,528,335,50,727,75,－,400,－,100
ねぎ,2021/2/10,相対,163357,24451,78632,11750,13806,14625,2013,11700,2180,4200
ねぎ,2021/2/10,第三者販売,2191,1616,290,200,－,－,－,－,85,－
ねぎ,2021/2/10,商物分離,8965,－,8965,－,－,－,－,－,－,－
みずな,2021/2/10,せり・入札,6,－,6,－,－,－,－,－,－,－
みずな,2021/2/10,相対,18324,3109,8689,1000,1000,1700,199,1700,27,900
みずな,2021/2/10,第三者販売,699,515,184,－,－,－,－,－,－,－
みずな,2021/2/10,商物分離,731,－,731,－,－,－,－,－,－,－
セルリー,2021/2/10,せり・入札,8,－,8,－,－,－,－,－,－,－
セルリー,2021/2/10,相対,37954,4087,19958,2000,3909,1800,390,3200,1110,1500
セルリー,2021/2/10,第三者販売,260,250,－,－,－,－,－,－,10,－
セルリー,2021/2/10,商物分離,30,－,30,－,－,－,－,－,－,－
ブロッコリー,2021/2/10,せり・入札,136,－,88,－,－,－,48,－,－,－
ブロッコリー,2021/2/10,相対,136891,30213,63722,300,23818,3200,1894,4700,3044,6000
ブロッコリー,2021/2/10,第三者販売,5654,5124,530,－,－,－,－,－,－,－
ブロッコリー,2021/2/10,商物分離,16639,－,16639,－,－,－,－,－,－,－
きゅうり,2021/2/10,せり・入札,610,－,285,50,－,75,－,100,－,100
きゅうり,2021/2/10,相対,188442,21548,96010,9950,19825,13225,10064,8700,1220,7900
きゅうり,2021/2/10,第三者販売,1060,1020,20,－,－,－,－,－,20,－
きゅうり,2021/2/10,商物分離,2700,－,2700,－,－,－,－,－,－,－
なす,2021/2/10,せり・入札,216,－,25,50,－,41,－,100,－,－
なす,2021/2/10,相対,97760,21115,38935,4950,9576,8059,1601,8000,824,4700
なす,2021/2/10,第三者販売,136,16,120,－,－,－,－,－,－,－
なす,2021/2/10,商物分離,1696,－,1696,－,－,－,－,－,－,－
トマト,2021/2/10,せり・入札,618,56,230,32,－,100,－,100,－,100
トマト,2021/2/10,相対,199870,22376,94774,9968,29337,14700,6360,14400,2655,5300
トマト,2021/2/10,第三者販売,2114,1913,197,－,－,－,－,－,4,－
トマト,2021/2/10,商物分離,10389,－,10389,－,－,－,－,－,－,－
ミニトマト,2021/2/10,相対,56230,5649,31704,700,9210,2600,1508,1800,59,3000
ミニトマト,2021/2/10,第三者販売,773,705,20,－,－,－,－,－,48,－
ミニトマト,2021/2/10,商物分離,4328,－,4328,－,－,－,－,－,－,－
ピーマン,2021/2/10,せり・入札,627,－,40,－,455,32,－,100,－,－
ピーマン,2021/2/10,相対,58708,6224,24797,4998,8650,4168,2880,4000,91,2900
ピーマン,2021/2/10,第三者販売,146,63,65,2,－,－,－,－,16,－
ピーマン,2021/2/10,商物分離,1007,－,1007,－,－,－,－,－,－,－
じゃがいも,2021/2/10,せり・入札,10,－,10,－,－,－,－,－,－,－
じゃがいも,2021/2/10,相対,195068,14278,92520,20000,24900,13000,9300,1800,2970,16300
じゃがいも,2021/2/10,第三者販売,330,－,－,－,－,－,－,－,330,－
じゃがいも,2021/2/10,商物分離,15000,－,15000,－,－,－,－,－,－,－
さつまいも,2021/2/10,せり・入札,435,－,435,－,－,－,－,－,－,－
さつまいも,2021/2/10,相対,111648,10090,59307,6000,7901,5000,3985,8500,2165,8700
さつまいも,2021/2/10,第三者販売,425,310,50,－,－,－,－,－,65,－
さつまいも,2021/2/10,商物分離,15148,－,15148,－,－,－,－,－,－,－
さといも,2021/2/10,せり・入札,20,－,20,－,－,－,－,－,－,－
さといも,2021/2/10,相対,20565,2205,12926,100,1559,2300,275,500,100,600
さといも,2021/2/10,第三者販売,130,130,－,－,－,－,－,－,－,－
さといも,2021/2/10,商物分離,975,－,975,－,－,－,－,－,－,－
たまねぎ,2021/2/10,せり・入札,20,－,20,－,－,－,－,－,－,－
たまねぎ,2021/2/10,相対,324843,40432,133300,20000,32450,35400,15741,23700,5420,18400
たまねぎ,2021/2/10,第三者販売,6100,－,5100,－,－,－,－,－,1000,－
たまねぎ,2021/2/10,商物分離,21160,－,21160,－,－,－,－,－,－,－
なましいたけ,2021/2/10,せり・入札,414,214,78,－,122,－,－,－,－,－
なましいたけ,2021/2/10,相対,23558,2788,13709,300,2317,1100,218,2400,26,700
なましいたけ,2021/2/10,第三者販売,245,207,36,－,－,－,－,－,2,－
なましいたけ,2021/2/10,商物分離,317,－,317,－,－,－,－,－,－,－
その他野菜,2021/2/10,せり・入札,8090,2040,1903,－,3420,－,27,200,－,500
その他野菜,2021/2/10,相対,695318,97823,319529,50000,64982,52000,11037,59800,8647,31500
その他野菜,2021/2/10,第三者販売,8772,2206,6566,－,－,－,－,－,－,－
その他野菜,2021/2/10,商物分離,7344,－,7344,－,－,－,－,－,－,－
みかん,2021/2/10,せり・入札,3287,－,3257,－,－,－,－,－,－,30
みかん,2021/2/10,相対,189025,38181,101320,3000,13944,7300,－,7600,810,16870
みかん,2021/2/10,第三者販売,3325,－,2595,－,－,－,－,－,730,－
みかん,2021/2/10,商物分離,4800,－,4800,－,－,－,－,－,－,－
ポンカン,2021/2/10,相対,77938,5750,39000,4700,13938,1500,－,11700,50,1300
ポンカン,2021/2/10,第三者販売,120,－,－,－,－,－,－,－,120,－
ポンカン,2021/2/10,商物分離,6527,－,6527,－,－,－,－,－,－,－
あまなつかん,2021/2/10,相対,9450,2000,7450,－,－,－,－,－,－,－
いよかん,2021/2/10,相対,58270,16320,16470,7000,11660,5300,－,1300,120,100
いよかん,2021/2/10,第三者販売,4470,3870,280,－,－,－,－,－,320,－
はっさく,2021/2/10,相対,15821,－,12521,－,－,3100,－,－,－,200
はっさく,2021/2/10,第三者販売,4722,4700,－,－,－,－,－,－,22,－
